"proj_id","risk_spectrum","spec_code","proj_retail_type"
"M0283_2555","","CPF","R"
"M0283_2557","","FIF,SPF","H"
"M0283_2558","","FIF","R"
"M0284_2558","","FIF","R"
"M0284_2562","RS4","","A"
"M0285_2558","","FIF","R"
"M0286_2554","","SPF","R"
"M0286_2555","","FIF,SPF","R"
"M0286_2558","","FIF","R"
"M0287_2558","","FIF","R"
"M0288_2555","","SPF","R"
"M0288_2558","","FIF","R"
"M0288_2559","","SPF","H"
"M0288_2563","","","H"
"M0289_2553","","FIF","R"
"M0289_2556","","","R"
"M0289_2565","","","B"
"M0290_2553","","","R"
"M0291_2553","","","R"
"M0291_2560","","","R"
"M0291_2566","","","B"
"M0292_2553","","","R"
"M0292_2557","","FIF,SPF","R"
"M0292_2560","","","R"
"M0293_2552","","FIF,SPF","R"
"M0293_2553","","","R"
"M0293_2557","","FIF,SPF","H"
"M0293_2562","RS4","","R"
"M0294_2552","","FIF,SPF","R"
"M0294_2558","","FIF,SPF","H"
"M0294_2562","RS4","","R"
"M0295_2549","","","R"
"M0295_2557","","FIF,SPF","H"
"M0295_2558","","FIF,SPF","H"
"M0295_2566","","","R"
"M0296_2549","","","R"
"M0296_2557","","FIF,SPF","H"
"M0296_2558","","FIF,SPF","H"
"M0296_2561","RS4","","R"
"M0296_2562","RS4","","R"
"M0297_2561","RS4","","R"
"M0299_2552","","FIF,SPF","R"
"M0300_2554","","SPF","R"
"M0300_2556","","CPF","R"
"M0300_2561","","","R"
"M0301_2553","","FIF","R"
"M0301_2555","","CPF","R"
"M0301_2556","","FIF,SPF","R"
"M0302_2553","","FIF","R"
"M0302_2554","","FIF,SPF","R"
"M0302_2555","","SPF","R"
"M0302_2563","","","H"
"M0303_2553","","FIF,SPF","R"
"M0303_2560","","","R"
"M0304_2558","","FF","R"
"M0304_2560","","","R"
"M0305_2552","","FIF,SPF","R"
"M0305_2559","","SPF","H"
"M0305_2561","RS4","","R"
"M0306_2555","","FIF,SPF","R"
"M0306_2559","","SPF","H"
"M0306_2561","RS4","","R"
"M0307_2554","","SPF","R"
"M0307_2557","","FIF,SPF","R"
"M0307_2564","","","B"
"M0308_2557","","FIF,SPF","H"
"M0308_2558","","FIF,SPF","H"
"M0308_2565","","","B"
"M0308_2566","","","R"
"M0309_2557","","FIF,SPF","H"
"M0310_2557","","FIF,SPF","H"
"M0311_2554","","SPF","R"
